"lon","lat","depth"
-88.275,49.109167,-0.232486
-88.295833,49.108333,-0.232593
-88.295,49.108333,-0.232593
-88.293333,49.108333,-0.232578
-88.2925,49.108333,-0.232562
-88.28,49.108333,-0.232516
-88.274167,49.108333,-0.232486
-88.291667,49.1075,-0.232562
-88.281667,49.1075,-0.232516
-88.28,49.1075,-0.232516
-88.279167,49.1075,-0.232501
-88.3425,49.105833,-0.233264
-88.293333,49.105833,-0.232547
-88.2925,49.105833,-0.232547
-88.291667,49.105833,-0.232547
-88.290833,49.105833,-0.232547
-88.295833,49.105,-0.232562
-88.293333,49.105,-0.232547
-88.285833,49.105,-0.232516
-88.276667,49.105,-0.232501
-88.29,49.104167,-0.232532
-88.289167,49.104167,-0.232532
-88.286667,49.104167,-0.232516
-88.2825,49.104167,-0.232516
-88.294167,49.103333,-0.232532
-88.2925,49.103333,-0.232532
-88.291667,49.103333,-0.232532
-88.2875,49.103333,-0.232516
-88.286667,49.103333,-0.232516
-88.285833,49.103333,-0.232516
-88.285,49.103333,-0.232516
-88.290833,49.101667,-0.232516
-88.289167,49.101667,-0.232516
-88.2875,49.101667,-0.232516
-88.284167,49.101667,-0.232501
-88.276667,49.101667,-0.232501
-88.295833,49.100833,-0.232516
-88.288333,49.100833,-0.232501
-88.286667,49.100833,-0.232501
-88.285833,49.100833,-0.232501
-88.285,49.100833,-0.232501
-88.284167,49.100833,-0.232501
-88.2775,49.100833,-0.232501
-88.276667,49.100833,-0.232501
-88.295833,49.1,-0.232501
-88.290833,49.1,-0.232501
-88.2825,49.1,-0.232501
-88.280833,49.1,-0.232501
-88.275833,49.1,-0.232501
-88.29,49.099167,-0.232501
-88.293333,49.0975,-0.232501
-88.2925,49.0975,-0.232501
-88.286667,49.0975,-0.232501
-88.2825,49.0975,-0.232501
-88.293333,49.096667,-0.232501
-88.291667,49.096667,-0.232501
-88.288333,49.096667,-0.232501
-88.2875,49.096667,-0.232501
-88.285833,49.096667,-0.232501
-88.283333,49.096667,-0.232501
-88.279167,49.096667,-0.232501
-88.289167,49.095833,-0.232501
-88.288333,49.095833,-0.232501
-88.286667,49.095833,-0.232501
-88.279167,49.095833,-0.232501
-88.288333,49.095,-0.232501
-88.283333,49.095,-0.232501
-88.281667,49.094167,-0.232501
-88.285833,49.093333,-0.232501
-88.284167,49.093333,-0.232501
-88.28,49.093333,-0.232501
-88.278333,49.093333,-0.232501
