Degree,x,y,mean_x,mean_y
Applied Materials Science M.S.,1.278826084096455,0.0852086871958857,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.1933997535300487,-0.03795596658219047,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.2320220136237376,-0.00469943582047172,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.1369653009963268,0.07272079885970406,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-5.13486752275703,-1.0063135296009893,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-5.082175109426952,-1.0435096889637823,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,2.1285783314299813,0.850059780488122,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.6084888392281764,0.2786562770701533,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.5598681234908336,0.21739748419295601,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.0480576419425243,-0.9911183982991094,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,2.601069595773243,-1.062563624968421,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-0.8338995910095937,0.8349364131785517,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.6968717352640861,-0.2723655372761602,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.21328180666687424,-0.1159031063221807,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-1.646008584539867,-1.3283254772328252,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-0.8648239112305409,0.8737247318125849,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-1.0146636701035268,-0.6441578537129278,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,-1.2839593625473744,-0.3370611339711065,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.7668205761504405,-1.520224300017249,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.2103596591544383,-1.5740773349903936,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.9858466946673625,-0.1654321819447393,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.8238249235940212,0.24539020956527047,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.6098888182234996,-0.017372813811194376,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.2825414204192394,-0.2054271370076055,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.8847277426314586,-0.21779295503128715,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,0.024152007062458347,-0.7619907528065557,0.633800674338364,-0.40062185822952934
Applied Materials Science M.S.,1.866023805100941,-1.509547439207923,0.633800674338364,-0.40062185822952934
Chemical Engineering M.S.Ch.E,2.4893415236068,-0.971543994536292,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.14602342609641616,0.3913271755076533,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-3.5945590472626456,-2.220380869498145,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,0.2243556642127269,0.2866542667246943,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,1.4361041450095409,2.4574106067515498,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.7704041934418446,0.818680557618249,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.06016269687888687,0.47808340490828805,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.040892574827647854,0.10008982122908883,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.024650964777446438,0.6205056041575556,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-1.434704635183788,0.6727540820933466,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,0.5195508265090221,-0.18223854600418754,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.05208960537192886,-0.026065078368079142,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,0.4294226431441539,-0.19116350709427543,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,0.10388370986702378,0.17817047537337594,0.27499729033234055,0.13922193945418648
Chemical Engineering M.S.Ch.E,-0.49584529165504043,-0.04973241387833305,0.27499729033234055,0.13922193945418648
Chemistry M.S.,-3.3737667537140617,-1.961853471388709,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-3.6348980403351554,-2.2734067112110967,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,0.20811774965050156,3.4849694103098994,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,0.9876442515444988,3.3465583652354365,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.6845549083161122,0.5061600536204462,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.366359565298534,-0.3035206466816778,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.8197477794098622,-1.399304118742835,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.5909086203980214,0.14812258184920601,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-0.8477990365433461,0.8181379169322138,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.7134505248474843,-0.04655763207901664,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.5735419726776845,-0.0322234302662725,-1.4126585460114247,-0.6107105880879278
Chemistry M.S.,-1.0234249568390614,-0.6530635028981084,-1.4126585460114247,-0.6107105880879278
